GSM3272790	GSM3272781	GSM3272782	GSM3272789	GSM3272787	GSM3272779	GSM3272788	GSM3272780	geneIDs
9579	19333	16688	11625	3930	8727	3319	5472	ENSMUSG00000025968
26935	13616	18685	56666	16647	5468	9505	5677	ENSMUSG00000025967
9	0	1	24	14	2	6	2	ENSMUSG00000046856
0	0	0	0	0	0	0	0	ENSMUSG00000086730
96	8	6	214	56	2	30	16	ENSMUSG00000027520
479	18	28	806	272	10	183	8	ENSMUSG00000025964
0	0	0	1	0	0	0	0	ENSMUSG00000115378
5	0	0	40	11	0	0	0	ENSMUSG00000069085
838	20	35	2463	566	6	280	14	ENSMUSG00000025963
1161	1728	1658	2567	646	824	440	515	ENSMUSG00000025962
8	13	2	26	8	6	8	2	ENSMUSG00000025961
4555	510	470	6871	2013	156	1593	150	ENSMUSG00000025959
8266	1802	2201	17598	4851	1206	2732	972	ENSMUSG00000025958
1028	423	385	2651	772	232	337	154	ENSMUSG00000025956
22	6	21	35	12	13	1	14	ENSMUSG00000087213
1239	494	745	3084	1111	261	434	274	ENSMUSG00000070871
2529	1349	4549	5699	2590	395	946	1434	ENSMUSG00000045005
2313	647	247	2831	906	171	894	78	ENSMUSG00000051344
0	0	2	0	0	0	2	0	ENSMUSG00000097264
224	136	153	444	110	28	90	32	ENSMUSG00000084416
71	4	2	8	8	0	14	0	ENSMUSG00000025955
0	0	0	0	0	0	0	0	ENSMUSG00000070870
0	10	16	2	0	4	0	3	ENSMUSG00000044429
24	2009	1690	2	8	1179	6	532	ENSMUSG00000044816
13010	35662	27115	26763	7241	16362	4458	8476	ENSMUSG00000025950
2926	1616	1344	5555	1630	1083	905	732	ENSMUSG00000025949
2	3	0	3	0	4	0	0	ENSMUSG00000025946
1113	821	515	1826	522	324	342	167	ENSMUSG00000015222
60	0	2	72	49	1	10	2	ENSMUSG00000055567
3669	1360	1552	7022	1861	1086	1366	577	ENSMUSG00000026005
1646	2559	2043	3380	1095	1373	593	867	ENSMUSG00000026004
28787	21422	21528	34005	12062	7090	10077	5533	ENSMUSG00000026003
521	34	23	264	446	2	140	0	ENSMUSG00000061816
4	2	2	18	2	2	2	0	ENSMUSG00000094191
2200	1710	1640	4633	1532	735	801	428	ENSMUSG00000026000
135	244	14	12	60	102	55	20	ENSMUSG00000025991
114	2141	774	76	24	876	25	199	ENSMUSG00000062209
0	0	0	2	0	0	0	0	ENSMUSG00000101387
1369	338	110	1306	454	178	501	38	ENSMUSG00000025997
2865	0	0	9887	1951	0	1038	0	ENSMUSG00000053153
0	0	0	0	0	0	0	0	ENSMUSG00000045648
309	29	14	246	97	18	126	10	ENSMUSG00000026196
12	0	1	8	12	0	0	2	ENSMUSG00000050296
4878	2819	2453	9200	2718	911	1833	801	ENSMUSG00000026192
19112	1848	1530	28570	15596	504	6986	302	ENSMUSG00000026193
0	2	0	9	5	0	0	0	ENSMUSG00000073652
19	0	0	16	5	0	11	0	ENSMUSG00000101848
780	254	126	796	315	110	253	42	ENSMUSG00000039395
116	173	104	266	60	164	36	41	ENSMUSG00000097131
506	13908	11606	681	212	4743	190	3048	ENSMUSG00000026189
8	552	391	14	6	357	6	82	ENSMUSG00000026188
2517	4279	3572	5221	1305	1795	961	1071	ENSMUSG00000026187
877	0	2	2763	632	0	336	0	ENSMUSG00000039372
2292	1571	702	3966	1240	593	832	200	ENSMUSG00000039354
0	0	2	0	0	2	0	4	ENSMUSG00000110712
0	0	2	0	0	0	0	0	ENSMUSG00000039342
15197	7662	9639	36082	10815	2849	5373	2989	ENSMUSG00000046330
20018	690	545	50963	16164	172	7577	212	ENSMUSG00000039323
67207	28073	23234	94322	34570	7048	24020	3971	ENSMUSG00000026185
0	0	0	14	3	0	0	0	ENSMUSG00000099877
0	0	0	0	0	0	0	0	ENSMUSG00000101812
200	8	4	563	191	2	95	2	ENSMUSG00000100444
32	0	3	51	16	3	2	0	ENSMUSG00000100301
110445	127859	43026	230322	83198	23352	40084	11634	ENSMUSG00000055322
163	348	321	315	124	156	60	133	ENSMUSG00000061815
594	12	32	1039	328	2	274	4	ENSMUSG00000026180
55	0	2	148	130	0	13	0	ENSMUSG00000048480
29381	11903	15309	54542	18815	4299	10466	4173	ENSMUSG00000006304
0	2	7	2	1	0	0	2	ENSMUSG00000064272
8943	10122	11355	19893	7174	3802	3375	3714	ENSMUSG00000006299
2730	6031	3685	3699	1486	1396	1032	956	ENSMUSG00000026179
14630	2132	3554	39266	13971	759	5300	968	ENSMUSG00000006301
979	8	8	4602	872	2	354	2	ENSMUSG00000073650
589	168	209	1152	502	64	222	80	ENSMUSG00000026177
11573	9867	8896	22626	9447	3001	4479	2255	ENSMUSG00000026176
95	12645	10094	227	88	3455	26	2786	ENSMUSG00000026175
2287	1121	1098	4670	1132	509	820	406	ENSMUSG00000033364
2612	1525	1524	4945	1743	666	984	430	ENSMUSG00000026174
78	323	196	286	86	122	33	66	ENSMUSG00000026173
846	766	825	1536	599	195	294	346	ENSMUSG00000026135
859	1308	1077	1367	465	435	349	258	ENSMUSG00000026172
1742	1312	2430	4844	1782	476	691	737	ENSMUSG00000026171
776	315	199	2491	724	142	218	48	ENSMUSG00000033276
2462	1613	1412	6762	1886	866	848	800	ENSMUSG00000033257
1306	2115	2213	2640	1008	765	468	643	ENSMUSG00000026170
509	227	579	1162	484	89	176	263	ENSMUSG00000006542
27	16	11	39	30	0	14	12	ENSMUSG00000033227
22	84	127	35	14	24	4	34	ENSMUSG00000026167
8	2	6	4	6	0	6	2	ENSMUSG00000090071
2	0	0	0	0	0	0	0	ENSMUSG00000055197
0	0	0	12	3	0	0	0	ENSMUSG00000006546
1710	108	121	8267	1682	66	707	26	ENSMUSG00000047021
47	1954	6006	159	42	791	12	1971	ENSMUSG00000006538
184	156	138	220	95	77	63	44	ENSMUSG00000026162
63	2422	1999	225	79	615	24	512	ENSMUSG00000026205
5549	4581	6856	14042	5609	1721	1986	2348	ENSMUSG00000033159
7481	12145	10983	16174	6068	3728	2843	3457	ENSMUSG00000049339
1189	1036	1175	3068	1030	460	418	403	ENSMUSG00000026197
110	225	202	375	90	65	32	50	ENSMUSG00000026198
1397	2155	1768	2721	1289	538	446	459	ENSMUSG00000033124
1091	1592	1359	2786	868	701	358	544	ENSMUSG00000026199
716	7469	5942	2329	488	2851	256	2020	ENSMUSG00000026200
3272	5054	5578	7338	2315	1978	1252	1689	ENSMUSG00000026201
4309	13289	35220	10184	3604	3868	1508	10566	ENSMUSG00000026202
2	12	7	12	6	1	0	2	ENSMUSG00000096094
7729	3557	6895	20335	6432	1151	2855	2125	ENSMUSG00000026203
320	18	38	759	230	5	135	7	ENSMUSG00000026204
65	0	0	158	47	0	18	0	ENSMUSG00000033061
3778	3130	3275	8808	3416	948	1404	780	ENSMUSG00000026209
7296	866	1232	22251	9144	143	2749	162	ENSMUSG00000026208
409	455	535	800	314	152	155	134	ENSMUSG00000026207
1	4	2	3	0	0	0	4	ENSMUSG00000033007
3758	1490	2269	7000	3270	353	1404	628	ENSMUSG00000032997
611	181	189	1493	539	44	242	73	ENSMUSG00000026211
